sample	morpho_id	mitoch_seq	mitoch_id	radseq_seq	radseq_id	status	host	site	dep.	long	lat	alt	dd	mm	yyyy	origine
19.0001a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207003	4.731359	136	13	4	2019	sampling
19.0002a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207003	4.731359	136	13	4	2019	sampling
19.0003a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207003	4.731359	136	13	4	2019	sampling
19.0004a	NA	FALSE_W	NA	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207003	4.731359	136	13	4	2019	sampling
19.0005a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207003	4.731359	136	13	4	2019	sampling
19.0006a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207003	4.731359	136	13	4	2019	sampling
19.0007a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.206801	4.731153	133	13	4	2019	sampling
19.0008a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.206801	4.731153	133	13	4	2019	sampling
19.0009a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.206801	4.731153	133	13	4	2019	sampling
19.0010a	NA	FILTERED_OUT	NA	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207444	4.732028	148	13	4	2019	sampling
19.0011a	NA	FILTERED_OUT	NA	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207583	4.732222	148	13	4	2019	sampling
